name,score,inGameTime,day,time,quitted
testInGameTime,600,10.946584224700928,28-01-2025,22:52:59,True
testShortenInGameTime,300,5.59174370765686,28-01-2025,22:54:1,True
testInGameTime2,400,6.0696563720703125,28-01-2025,22:55:4,True
testInGameTime3,400,7.537,28-01-2025,22:58:26,True
joueur1,1300,67.744,07-03-2025,20:49:44,False
testNom,0,5.208,07-03-2025,21:16:44,True
testNom2,100,12.706,07-03-2025,22:02:53,False
testQuitFinJeu,200,9.843,07-03-2025,22:03:37,True
testQuitEchap,0,0.965,07-03-2025,22:04:30,True
test,9300,227.864,12-03-2025,20:01:53,False
testquit,0,0.637,12-03-2025,20:04:29,True
testEcranDefaite,100,26.633,12-03-2025,20:10:18,False
testEcranFin,200,10.866,12-03-2025,20:14:12,False
testNomStage,0,10.534,12-03-2025,20:16:20,True
math,9200,270.177,24-03-2025,16:36:44,False
testRejouerPartie ,200,11.291,24-03-2025,16:41:06,Use quit() or Ctrl-Z plus Return to exit
testRejouerPartie2,0,9.396,24-03-2025,16:41:22,Use quit() or Ctrl-Z plus Return to exit
testRejouerPartie3,200,7.209,24-03-2025,16:43:26,True
